Latitude,Longitude,Geo Shape,prop_id,no_smoking,level_1_na,addresspt1,event,full_name,addressp_1,training,dog_prohib,dog_off_le,venue_recn,addresspt_,sport,promotion,bookable,level_3_na,wedding,roadseg_id,sustainabi,level_2_na,Title,description,Category,Approved,Address,Seats,Venue_Type,Indoor_Outdoor,Description
-37.77810074,144.9530654,"{""coordinates"":[144.9530654381132,-37.77810073831752],""type"":""Point""}",107426,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 9_Western Ct_F1_L1_L2,0,N,N,N,272,0,Y,,Y,,N,0,L,RP - Lawn 9_Western Ct_F1_L1_L2,Royal Park:  RP - Lawn 9_Western Ct_F1_L1_L2,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,
-37.77855678,144.9553188,"{""coordinates"":[144.95531877123642,-37.77855677831291],""type"":""Point""}",107426,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 9_Ransford Ct_F2_L3,0,N,N,N,268,0,Y,,Y,,N,0,L,RP - Lawn 9_Ransford Ct_F2_L3,Royal Park:  RP - Lawn 9_Ransford Ct_F2_L3,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,
-37.7786467,144.9610537,"{""coordinates"":[144.96105370796076,-37.77864670473415],""type"":""Point""}",107696,N,Princes Park,61.44025708,Y,Princes Park:  PP - Lawn 6,214,Y,N,N,219,526307,N,,Y,,N,0,M,PP - Lawn 6,Princes Park:  PP - Lawn 6,Event: Y | Bookable: Y | Region: Princes Park,Venues,1,,,,,
-37.77873462,144.9567574,"{""coordinates"":[144.95675744610313,-37.778734622101226],""type"":""Point""}",107426,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 9_McAlister Ct_F3,0,N,N,N,270,0,Y,,Y,,N,0,L,RP - Lawn 9_McAlister Ct_F3,Royal Park:  RP - Lawn 9_McAlister Ct_F3,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,
-37.77990471,144.9552192,"{""coordinates"":[144.95521917866634,-37.77990471424554],""type"":""Point""}",107426,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 9_Ryder Ct_S1,0,N,N,N,266,0,Y,,Y,,N,0,L,RP - Lawn 9_Ryder Ct_S1,Royal Park:  RP - Lawn 9_Ryder Ct_S1,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,
-37.78069122,144.9613104,"{""coordinates"":[144.96131042982304,-37.78069121952157],""type"":""Point""}",107696,N,Princes Park,0.0,Y,Princes Park:  PP - Lawn 5 (DOG OFF LEASH),0,N,N,Y,218,0,N,,Y,,N,0,M,PP - Lawn 5 (DOG OFF LEASH),Princes Park:  PP - Lawn 5 (DOG OFF LEASH),Event: Y | Bookable: Y | Region: Princes Park,Venues,1,,,,,
-37.7811147,144.9567312,"{""coordinates"":[144.9567311803712,-37.781114702461835],""type"":""Point""}",107426,N,Royal Park,79.76690737,N,Royal Park:  RP - Lawn 14_Poplar Cs_S2,208,N,N,Y,274,110274,Y,,Y,,N,0,L,RP - Lawn 14_Poplar Cs_S2,Royal Park:  RP - Lawn 14_Poplar Cs_S2,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,
-37.78138585,144.9558838,"{""coordinates"":[144.9558837698553,-37.781385849986435],""type"":""Point""}",107426,N,Royal Park,6.46392703,N,Royal Park:  RP - Poplar Pavilion,302,N,N,N,284,110274,Y,,Y,,N,0,L,RP - Poplar Pavilion,Royal Park:  RP - Poplar Pavilion,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,
-37.78234867,144.9616814,"{""coordinates"":[144.96168143118967,-37.78234866992262],""type"":""Point""}",107696,N,Princes Park,0.0,Y,Princes Park:  PP - Lawn 3 / Northern CarPark,0,Y,N,N,216,0,Y,,Y,,N,0,M,PP - Lawn 3 / Northern CarPark,Princes Park:  PP - Lawn 3 / Northern CarPark,Event: Y | Bookable: Y | Region: Princes Park,Venues,1,,,,,
-37.7835554,144.9442602,"{""coordinates"":[144.9442602128394,-37.7835554018556],""type"":""Point""}",107426,N,Royal Park,1.92265838,N,Royal Park:  RP - Ross Straw Pavilion,347,N,N,N,279,622034,Y,,Y,,N,0,L,RP - Ross Straw Pavilion,Royal Park:  RP - Ross Straw Pavilion,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,
-37.78398402,144.9427921,"{""coordinates"":[144.9427921184255,-37.78398401734769],""type"":""Point""}",107426,Y,Royal Park,0.0,N,Royal Park:  RP - Ross Straw Field 1 Nth_Ct,0,N,N,N,262,0,Y,,Y,,N,0,L,RP - Ross Straw Field 1 Nth_Ct,Royal Park:  RP - Ross Straw Field 1 Nth_Ct,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,
-37.78398402,144.9427921,"{""coordinates"":[144.9427921184255,-37.78398401734769],""type"":""Point""}",107426,Y,Royal Park,0.0,N,Royal Park:  RP - Ross Straw Field B2 West,0,N,N,N,265,0,Y,,Y,,N,0,L,RP - Ross Straw Field B2 West,Royal Park:  RP - Ross Straw Field B2 West,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,
-37.78398402,144.9427921,"{""coordinates"":[144.9427921184255,-37.78398401734769],""type"":""Point""}",107426,Y,Royal Park,0.0,N,Royal Park:  RP - Ross Straw Field 2 Sth_Ct,0,N,N,N,263,0,Y,,Y,,N,0,L,RP - Ross Straw Field 2 Sth_Ct,Royal Park:  RP - Ross Straw Field 2 Sth_Ct,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,
-37.78398402,144.9427921,"{""coordinates"":[144.9427921184255,-37.78398401734769],""type"":""Point""}",107426,Y,Royal Park,0.0,N,Royal Park:  RP - Ross Straw Field B1 East,0,N,N,N,264,0,Y,,Y,,N,0,L,RP - Ross Straw Field B1 East,Royal Park:  RP - Ross Straw Field B1 East,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,
-37.78533714,144.9615229,"{""coordinates"":[144.96152285042714,-37.78533714442047],""type"":""Point""}",107696,N,Princes Park,0.0,N,Princes Park:  PP - Jogging Track,0,N,N,Y,204,0,Y,,Y,,N,0,M,PP - Jogging Track,Princes Park:  PP - Jogging Track,Event: N | Bookable: Y | Region: Princes Park,Venues,1,,,,,
-37.78539829,144.9664796,"{""coordinates"":[144.96647963539363,-37.78539828659486],""type"":""Point""}",106380,N,Other Park Locations,41.56399607,Y,Other Park Locations:  Hardy Reserve,177,N,N,N,365,106380,,,Y,,N,0,L,Hardy Reserve,Other Park Locations:  Hardy Reserve,Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,
